Pop,Urb,GDP,EC,FFEC,REC,EI,CO2,CH4,N2O
C: +0.50 to +1.99,C: +0.82 to +2.84,,,,,,,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,B: -0.40 to +0.16,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,B: +1.24 to +2.89,C: +2.79 to +13.06,C: +0.16 to +2.34,,B: -0.38 to +0.78,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,B: +1.24 to +2.89,C: +2.79 to +13.06,B: -0.40 to +0.16,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,B: -0.38 to +0.78,C: +3.81 to +17.59,,
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,B: -0.40 to +0.16,,B: -0.38 to +0.78,C: +3.81 to +17.59,,
B: +0.07 to +0.50,C: +0.82 to +2.84,B: +1.24 to +2.89,A: -7.05 to -0.12,B: -0.40 to +0.16,,A: -3.27 to -0.38,C: +3.81 to +17.59,A: -6.02 to -0.31,C: +2.75 to +12.61
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,B: -0.38 to +0.78,C: +3.81 to +17.59,C: +2.11 to +9.00,C: +2.75 to +12.61
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,C: +2.11 to +9.00,C: +2.75 to +12.61
C: +0.50 to +1.99,C: +0.82 to +2.84,C: +2.89 to +7.49,B: -0.12 to +2.79,A: -2.72 to -0.40,,B: -0.38 to +0.78,B: -0.79 to +3.81,C: +2.11 to +9.00,B: +0.61 to +2.75
C: +0.50 to +1.99,C: +0.82 to +2.84,A: -5.71 to +1.24,A: -7.05 to -0.12,A: -2.72 to -0.40,,A: -3.27 to -0.38,A: -10.20 to -0.79,C: +2.11 to +9.00,A: -4.31 to +0.61
B: +0.07 to +0.50,B: +0.15 to +0.82,C: +2.89 to +7.49,C: +2.79 to +13.06,C: +0.16 to +2.34,,C: +0.78 to +5.75,C: +3.81 to +17.59,C: +2.11 to +9.00,B: +0.61 to +2.75
B: +0.07 to +0.50,B: +0.15 to +0.82,B: +1.24 to +2.89,A: -7.05 to -0.12,A: -2.72 to -0.40,,B: -0.38 to +0.78,A: -10.20 to -0.79,B: -0.31 to +2.11,B: +0.61 to +2.75
B: +0.07 to +0.50,B: +0.15 to +0.82,B: +1.24 to +2.89,B: -0.12 to +2.79,C: +0.16 to +2.34,,B: -0.38 to +0.78,C: +3.81 to +17.59,B: -0.31 to +2.11,B: +0.61 to +2.75
